location,primary,secondary
GLR-10-SD15,Forested,Open-Open
GLR-11-SD3,Forested,Open-Closed
GLR-12B-SD14,Forested,Closed-Closed
GLR-13B-SD4,Forested,Open-Closed
GLR-14B-SD18,Forested,Open-Closed
GLR-16-SD1,Forested,Open-Open
GLR-17-SD44,Shrubby,Closed
GLR-18-SD7B,Forested,Open-Open
GLR-19B-SD30,Forested,Open-Open
GLR-1B-SD6,Forested,Closed-Closed
GLR-20B-SD42,Forested,Open-Closed
GLR-2B-SD12,Forested,Open-Closed
GLR-26-SD29,Forested,Open-Open
GLR-3-SD37,Forested,Open-Closed
GLR-5-SD5,Forested,Closed-Closed
GLR-6-SD36B,Forested,Open-Closed
GLR-7-SD21,Open,Open
GLR-8-SD10,Forested,Closed-Closed
GLR-9-SD8B,Forested,Open-Closed
RW-11-SD-24,Shrubby,Closed
RW-12-SD-31,Forested,Open-Closed
RW-13-SD25,Forested,Closed-Closed
RW-14-SD35,Forested,Open-Closed
RW-15-SD16,Shrubby,Closed
RW-16-SD-22,Shrubby,Closed
RW-17-SD41,Shrubby,Closed
RW-18-SD-43,Shrubby,Open
RW19-SD17a,Forested,Open-Closed
RW-1-SD26,Forested,Open-Closed
RW20-SD20,Forested,Open-Closed
RW-2-SD19,Forested,Open-Open
RW-3-32,Forested,Open-Open
RW-4-SD9,Forested,Closed-Closed
RW-5-SD-28,Forested,Open-Closed
RW-6-SD38,Forested,Open-Open
RW-7-SD27,Forested,Closed-Closed
RW-8-SD-39,Shrubby,Open
RW-9-SD23,Shrubby,Open
